"meshDataId","!7369fb6a","!75f19024","latitudeI","longitudeI","createdAt"
"6b82f3ad-3abe-49f6-93a4-b99fbee03c1f",-121,-79,"457586231","138260340","2026-01-18 20:42:11.762"
"c58af5f3-827f-42b5-802e-59517c219f33",-124,-79,"457651140","138100890","2026-01-18 20:43:42.997"
"d7365cc1-e61a-4f2d-8761-eb43887615e5",-119,NULL,"457651139","138100890","2026-01-18 20:43:51.928"
"c2deaafc-7802-4988-ba21-cea954fda07f",-118,-78,"457652080","138081475","2026-01-18 20:43:58.082"
"bf8aa27c-7b2e-4177-b546-8784b33729c5",-109,-79,"457677406","138048728","2026-01-18 20:44:44.056"
"eb341278-aa7e-4f0f-9b33-3d410ee896fe",-119,-79,"457684021","138036000","2026-01-18 20:44:59.034"
"686d78a5-6998-4286-98d2-ae80c0264034",-115,NULL,"457684020","138036000","2026-01-18 20:45:07.272"
"6681f2c2-8399-482c-b95e-a532fc0acb5f",-116,NULL,"457696479","138033196","2026-01-18 20:45:22.469"
"482bdf9c-47ab-4fba-a194-2ab23ffdc123",-114,-78,"457708026","138022818","2026-01-18 20:45:29.484"
"efe7ca8b-1f59-4603-ac5c-4da3aadd76ef",-115,-78,"457710515","138014600","2026-01-18 20:45:44.678"
"7c417eec-e22e-4e73-be2a-b5ae7d26c4c9",-118,-78,"457736575","137996510","2026-01-18 20:46:14.909"
"37ca708e-33aa-4548-8de0-a3f8182a1331",-113,NULL,"457736575","137996510","2026-01-18 20:46:22.128"
"0f0e0061-108b-46e6-8439-c1439961851a",-111,NULL,"457752481","137989028","2026-01-18 20:46:29.959"
"79b5ade0-7e61-4c6f-9d20-ddb3d778c848",-108,-116,"457761186","137979995","2026-01-18 20:46:45.86"
"e343318a-8cd4-44fd-b376-5f8e3efa1e06",-114,-80,"457765405","137977508","2026-01-18 20:47:01.285"
"f8a775c5-67e3-4cea-ab77-81f8cf3e36df",-114,NULL,"457765404","137977508","2026-01-18 20:47:01.412"
"3c741d21-eea9-4f81-9675-1b2183e44448",-104,-114,"457768140","137973370","2026-01-18 20:47:16.198"
"3c4807d7-3a66-46a9-9ed5-1b177a28b25c",-97,-107,"457771006","137969036","2026-01-18 20:47:32.043"
"e7ba2508-9c0c-4cea-bcba-a83574ba1f7d",-96,-104,"457771006","137969035","2026-01-18 20:47:34.285"
"5b25c2a0-fce3-428a-b618-1fa8df2b371f",-101,-79,"457774635","137966450","2026-01-18 20:47:47.022"
"158b78cc-1058-4c04-9380-d942baf3bb09",-102,-78,"457779261","137967771","2026-01-18 20:48:02.874"
"bbcaafa9-470d-4857-bc91-9cb30c612d54",-102,-106,"457784005","137970176","2026-01-18 20:48:17.935"
"82cfdbc9-d16c-4e44-8632-c0aa2d300d49",-110,-111,"457789066","137967118","2026-01-18 20:48:32.977"
"8f590b56-8783-4218-9e0f-e1bb20f88828",-111,-79,"457793650","137960396","2026-01-18 20:48:48.013"
"466b3fef-3138-4d3d-b0c3-386741391f1a",-120,NULL,"457799633","137950490","2026-01-18 20:49:04.136"
"e5e563ab-c481-4b57-874b-e5afba0a82a2",-96,-79,"457808405","137924636","2026-01-18 20:49:35.072"
"94771afe-fb42-4c29-ac00-494ace3ed1c5",-101,-113,"457816928","137915788","2026-01-18 20:49:50.589"
"c9656f9a-5722-4863-9384-f59f980a1225",-114,NULL,"457824053","137898990","2026-01-18 20:50:06.085"
"77610f57-a854-4949-99c0-050a5d171b0f",-114,-78,"457829725","137864975","2026-01-18 20:50:36.979"
"601e817f-8075-4348-af2e-1b99e6cdfb4b",NULL,-118,"457838236","137852206","2026-01-18 20:50:52.258"
"d40e0aac-1a01-4bf1-841b-01969a95a138",-106,-79,"457842658","137835016","2026-01-18 20:51:07.879"
"f9b65d57-3d10-42d3-aa10-0d40ca0e1af6",-110,-79,"457848546","137821263","2026-01-18 20:51:22.883"
"4de9cd29-adb1-45ba-abd1-9ba36b6a112b",-113,-79,"457858501","137811803","2026-01-18 20:51:38.017"
"d837621e-9347-46f2-a47a-8e5bd8433106",-111,-79,"457889683","137757868","2026-01-18 20:52:38.995"
"56fc33a2-daa5-4ff0-a7b0-90afa2ddf39b",-118,NULL,"457900330","137745573","2026-01-18 20:52:54.227"
"ef69aba7-62b2-4e89-b06d-5113afd7297e",-117,NULL,"457911816","137732808","2026-01-18 20:53:10.252"
"8facf927-1d03-4929-ae5b-01e63eec138e",-97,-78,"457920938","137715913","2026-01-18 20:53:25.11"
"1e7406b7-2d31-402a-983a-5055b36175f3",-113,NULL,"457932833","137699271","2026-01-18 20:53:40.992"
"5e6db67b-0eb9-401f-9309-ed782935c475",-118,NULL,"457945228","137688315","2026-01-18 20:53:55.906"
"0aa41b37-89d4-47b9-86f7-94dbc2fe3427",-102,-79,"457958061","137678598","2026-01-18 20:54:10.967"
"2a47ed96-8320-431d-a668-9c82dddcb1c2",-115,-79,"457970963","137671481","2026-01-18 20:54:26.069"
"feef544f-ca1b-4aa6-a6f0-d82c72dc06fd",-113,-78,"457998336","137657803","2026-01-18 20:54:57.1"
"f96f4e12-bb16-4e17-860f-783413a934c1",-89,-78,"458010770","137650241","2026-01-18 20:55:11.986"
"2c47a888-f987-43af-95db-adfd06744526",-96,-113,"458015336","137648700","2026-01-18 20:55:27.05"
"35ed105b-4abe-4a24-a15e-9066742cff72",-96,-79,"458016565","137648373","2026-01-18 20:55:57.93"
"c691bd85-7027-410f-ba51-694b02494bff",-97,-78,"458023275","137646338","2026-01-18 20:56:13.057"
"ebc75532-9abf-448a-89d7-790e0a9faaa5",-100,-78,"458028821","137646658","2026-01-18 20:56:28.074"
"ca0515ac-2c5b-4019-9c5a-fc7a431b1310",-93,-78,"458036558","137646841","2026-01-18 20:56:43.121"
"d899056d-7c16-47ee-b765-8f32ec3b970c",-96,-111,"458041201","137640331","2026-01-18 20:56:58.989"
"5b785540-6f5e-4b8a-9e16-adfa63aceaaf",-106,-79,"458044100","137627948","2026-01-18 20:57:14.056"
"54797d4d-9acb-4ed7-8d7f-6273a4fadbd8",-104,-79,"458044783","137623251","2026-01-18 20:57:29.069"
"b7a515dd-d05c-476a-a29f-4dffd2840bda",-107,-79,"458085821","137588578","2026-01-18 20:58:45.035"
"7eb6e69c-5980-46a2-8bd2-145c8071205c",-103,-78,"458101681","137553953","2026-01-18 20:59:15.157"
"da069527-8abd-46b0-b760-6746321abb1a",-106,-78,"458111313","137539018","2026-01-18 20:59:31.076"
"c6862f26-ec2a-4f0b-80da-cb188b142a50",-117,-116,"458136018","137518858","2026-01-18 21:00:01.393"
"ff6dc3b0-4948-4eb2-9a52-8e1deafac544",-121,-123,"458170655","137488436","2026-01-18 21:01:03.053"
"5b69543f-ad8c-4c6d-9dc4-4943d6405c64",-106,-77,"458177520","137489548","2026-01-18 21:01:18.368"
"de220991-472a-4a26-a545-59b2a13cb1c1",-108,NULL,"458191375","137489363","2026-01-18 21:01:33.602"
"1dca8425-e9b0-4941-a1e6-70ea6d483338",-89,-78,"458199493","137476885","2026-01-18 21:01:48.745"
"a7ab8bb8-4c11-4c3a-9e63-40b2afcc0333",-85,-80,"458201046","137473051","2026-01-18 21:02:04.121"
"c6cdcad0-963e-4810-8a57-2095f221e886",-96,-104,"458201046","137473051","2026-01-18 21:02:07.809"
"3b17c0c6-bbec-4860-bd4d-8ab9d421c53d",-93,-79,"458202198","137470745","2026-01-18 21:02:19.08"
"1f0a5b7c-9df2-4922-a8ea-c71f72611652",-105,NULL,"458203386","137468405","2026-01-18 21:02:41.224"
"325412ab-b514-499f-a1f1-347706199bca",NULL,-123,"458205570","137465373","2026-01-18 21:02:50.418"
"449e72ad-5654-452a-8bd3-3552432d3669",-97,NULL,"458205570","137465373","2026-01-18 21:03:20.568"
"0e3f288f-be3c-496a-9b98-d89feec6d7e7",-100,-79,"458205406","137464073","2026-01-18 21:03:22.106"
"bc9577af-dfb6-4a3f-80ef-8709f9cc2506",-101,-110,"458206315","137463833","2026-01-18 21:03:57.22"
"9dfda492-026d-410e-9176-5df5373d31ea",-90,-80,"458207930","137464118","2026-01-18 21:04:12.24"
"f314917f-7097-4bdd-a394-18f21b3cc88e",-102,NULL,"458208978","137464738","2026-01-18 21:04:31.107"
"e6d1f594-f4ce-4bb6-9bf2-825639e05c99",-101,-107,"458215735","137466526","2026-01-18 21:04:46.228"
"fec9c8b3-91e3-4a40-a83b-dce4111caa71",-93,NULL,"458224400","137465401","2026-01-18 21:05:01.338"
"1566fd4f-5085-4da9-8fd3-66f0b349d594",-95,-79,"458236271","137458125","2026-01-18 21:05:17.184"
"d272ebb9-87d4-4b17-b39d-bf7ede221c7a",-105,-79,"458250790","137451465","2026-01-18 21:05:33.098"
"03dcc5c7-5113-4b5a-ab49-f0ca5ce64ab5",-122,NULL,"458264436","137446806","2026-01-18 21:05:48.074"
"7cfba82d-b765-4c0d-a2d0-440c7016e860",-114,NULL,"458277686","137443881","2026-01-18 21:06:03.09"
"df864506-82cc-49a1-9869-46a40e7d7807",-105,-79,"458290571","137438581","2026-01-18 21:06:18.104"
