row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed,!da5ad56c_mesaured_rssi,!da5ad56c_predicted_rssi,!da5ad56c_path_loss_rssi,!da5ad56c_los_obstructed,!da5ad56c_fresnel_60_obstructed,!da5ad56c_first_fresnel_obstructed
124,45.8427216,13.7327208,-53.0,-37.35,-43.69,False,False,False,-80.0,-60.16,-64.66,False,True,True,-84.0,-66.36,-58.53,True,True,True
125,45.84492,13.7298886,-56.0,-46.35,-51.45,False,False,False,-81.0,-57.91,-62.61000000000001,False,False,False,-80.0,-73.84,-54.7,True,True,True
126,45.8461415,13.7288868,-82.0,-49.25,-54.14,False,False,False,-75.0,-56.7,-61.37,True,True,True,-84.0,-69.93,-52.879999999999995,True,True,True
127,45.8472091,13.7276096,,,,,,,-94.0,-55.3,-60.09,False,False,False,,,,,,
128,45.8482081,13.72605,-76.0,-54.64,-58.33,False,False,True,-75.0,-53.93,-58.78,True,True,True,-84.0,-64.54,-49.53,True,True,True
129,45.8491468,13.7245828,-73.0,-55.69,-59.830000000000005,False,False,True,-76.0,-52.49,-57.59,False,False,True,-85.0,-49.59,-50.28,True,True,True
130,45.8498038,13.723637,-76.0,-56.23,-60.70000000000001,False,False,False,-79.0,-51.7,-56.86,False,False,True,-85.0,-54.65,-51.69,False,True,True
131,45.8505721,13.722293,-79.0,-60.209999999999994,-61.71999999999999,False,True,True,-77.0,-51.48,-56.379999999999995,True,True,True,-85.0,-59.540000000000006,-53.53,False,True,True
132,45.8513301,13.720472,-79.0,-74.81,-62.809999999999995,True,True,True,-90.0,-51.86,-56.83,False,True,True,-85.0,-64.75,-55.480000000000004,True,True,True
133,45.852137,13.7190616,-79.0,-62.739999999999995,-63.65999999999999,False,False,True,-88.0,-52.75,-57.41,False,False,True,-85.0,-57.36,-57.17,False,True,True
134,45.8534893,13.7188311,-86.0,-59.879999999999995,-64.28,False,False,False,-81.0,-52.03,-56.879999999999995,False,False,False,-85.0,-56.79,-58.75999999999999,False,True,True
135,45.8549361,13.7193788,-81.0,-60.269999999999996,-64.72,False,False,False,-102.0,-51.18,-55.95,False,True,True,-71.0,-56.8,-60.029999999999994,False,False,True
136,45.8563158,13.719486,-85.0,-60.84,-65.27000000000001,False,False,False,-80.0,-51.41,-56.28,True,True,True,-80.0,-59.58,-61.21,False,False,True
137,45.8559353,13.7193043,-76.0,-60.650000000000006,-65.15,False,False,False,-80.0,-51.68,-56.31,False,False,False,-71.0,-59.040000000000006,-60.92000000000001,False,False,True
138,45.8546943,13.7187151,-73.0,-60.3,-64.80000000000001,False,False,False,-78.0,-51.9,-56.75999999999999,False,False,False,-70.0,-55.41,-59.96,False,False,True
